,K,T,Local Vol,Implied Vol,BSM,MP
37,700,0.32,0.40980211848382925,0.4227261901855468,109.39259730076719,111.35
38,715,0.32,0.4018512615391541,0.4152806457519531,99.13070561208548,101.25
39,725,0.32,0.39662061300551205,0.4102762634277343,92.54173491873769,94.75
40,450,0.57,0.4068630080403815,0.38940432739257813,324.55411309233494,323.95
41,500,0.57,0.4346242130531504,0.42907321166992185,280.5699941848249,280.15
42,550,0.57,0.4309591448698502,0.43139231567382813,238.10112317585094,238.15
43,600,0.57,0.42072130111516187,0.42492323608398436,198.1336008089258,198.75
44,650,0.57,0.40398074960183183,0.4103983215332031,160.5100606345983,161.65
45,675,0.57,0.39498681214691883,0.4020983703613281,142.87844896530476,144.25
46,700,0.57,0.3865788339762723,0.39416459350585936,126.29186413127115,127.85
47,725,0.57,0.37707395954784845,0.3848881774902343,110.45781834676768,112.15
48,750,0.57,0.3682485572738487,0.37609999389648435,95.79384296180194,97.55
49,775,0.57,0.3586629799976759,0.36633534545898433,82.02689430268452,83.8
50,780,0.57,0.35664938419763,0.36426035766601567,79.38245986143744,81.15
51,800,0.57,0.3501030720230113,0.3574251037597656,69.60131136505436,71.3
52,820,0.57,0.3429604855479569,0.3498575012207031,60.40793745859929,62.0
53,825,0.57,0.3414916609589491,0.3482707458496093,58.29694924374883,59.85
54,830,0.57,0.339791776577138,0.34643987426757805,56.17843082746407,57.7
55,835,0.57,0.3383376992563577,0.34485311889648435,54.16188613379785,55.65
56,840,0.57,0.336533570542649,0.3429001892089843,52.11105652439096,53.55
57,850,0.57,0.33378137504274935,0.3398487365722656,48.33987527335967,49.7
58,875,0.57,0.3261377665980392,0.3313046691894531,39.52449327889539,40.65
59,900,0.57,0.3192750018438692,0.32337089233398425,31.969017880562518,32.8
60,450,0.82,0.381774043295061,0.3743911804199218,327.4897293467565,327.05
61,500,0.82,0.40300208733813786,0.4013660217285156,285.32383603611083,285.15
62,550,0.82,0.402399817985258,0.4039292419433594,244.91705291959198,245.15
63,600,0.82,0.3955192354102669,0.3990469177246094,206.98219747553594,207.65
64,650,0.82,0.38491694031551715,0.38964844360351564,171.694460652065,172.75
65,675,0.82,0.3784499387079141,0.3835455383300781,155.05868378418495,156.25
66,700,0.82,0.3717463813837553,0.3770764587402343,139.22256784087864,140.55
67,725,0.82,0.3649171904262033,0.3703632629394531,124.23274767639373,125.65
68,750,0.82,0.35747483835871596,0.36291771850585935,109.97752629346036,111.45
69,775,0.82,0.35025466093625446,0.3555942321777343,96.69450398966598,98.15
70,800,0.82,0.34265237240695035,0.3477825134277343,84.23688176510052,85.65
71,825,0.82,0.3357462474199257,0.3405810852050781,72.91608931646209,74.25
72,850,0.82,0.32929348895718213,0.3337458312988281,62.668089212889186,63.9
73,875,0.82,0.3229322915771053,0.3269105773925781,53.38328387045408,54.45
74,900,0.82,0.31690122702058443,0.32031943969726556,45.105527139238404,46.0
75,925,0.82,0.31084086192519444,0.31360624389648434,37.71081131547473,38.4
76,950,0.82,0.3047526334782687,0.30677098999023433,31.167697528210084,31.65
77,975,0.82,0.2993519253167122,0.3005460266113281,25.59209343825603,25.85
78,1000,0.82,0.29534627944567565,0.2956637023925781,21.041323949826108,21.1
79,1025,0.82,0.28989174859192424,0.2891946228027343,16.87356277281161,16.75
